Type,Block,Street Name,Postal,Latitude,Longitude,Station Name
LRT,15,CHOA CHU KANG AVENUE 4,689813,1.384755411,103.7445377,Choa Chu Kang
LRT,50,CHOA CHU KANG WAY,688265,1.380298287,103.7452918,South View
LRT,30,CHOA CHU KANG WAY,688266,1.378602766,103.7490555,Keat Hong
LRT,10,CHOA CHU KANG WAY,688267,1.376684679,103.7537122,Teck Whye
LRT,40,CHOA CHU KANG ROAD,689483,1.378615451,103.7579956,Phoenix
LRT,11,PETIR ROAD,678268,1.377926129,103.763103,Bukit Panjang
LRT,31,PETIR ROAD,678269,1.377772043,103.7666458,Petir
LRT,9,PENDING ROAD,678296,1.376135743,103.7712612,Pending
LRT,20,BUKIT PANJANG RING ROAD,679939,1.38002223,103.7726474,Bangkit
LRT,40,FAJAR ROAD,679004,1.384520797,103.7708086,Fajar
LRT,50,BUKIT PANJANG RING ROAD,679940,1.387785087,103.7695997,Segar
LRT,70,BUKIT PANJANG RING ROAD,679941,1.386736257,103.7645331,Jelapang
LRT,10,COMPASSVALE STREET,545055,1.394493046,103.9004925,Compassvale
LRT,70,RIVERVALE DRIVE,545054,1.391468497,103.9059736,Rumbia
LRT,50,RIVERVALE DRIVE,545053,1.387992935,103.905414,Bakau
LRT,20,RIVERVALE DRIVE,545052,1.383959115,103.9022254,Kangkar
LRT,30,SENGKANG EAST AVENUE,545046,1.384233561,103.8971947,Ranggung
LRT,5,ANCHORVALE STREET,545047,1.396277632,103.8937972,Cheng Lim
LRT,35,ANCHORVALE STREET,545048,1.397170196,103.8893048,Farmway
LRT,60,FERNVALE STREET,797697,1.398212828,103.8812562,Kupang
LRT,40,FERNVALE ROAD,797699,1.397318156,103.8756352,Thanggam
LRT,10,FERNVALE ROAD,797698,1.391885888,103.8763086,Fernvale
LRT,11,SENGKANG WEST AVENUE,797700,1.392079839,103.8800296,Layar
LRT,80,SENGKANG EAST AVENUE,545050,1.389347953,103.8858442,Tongkang
LRT,60,SENGKANG EAST AVENUE,545049,1.386723922,103.8905394,Renjong
LRT,50,PUNGGOL FIELD,828858,1.399281985,103.9059619,Cove
LRT,60,PUNGGOL FIELD,828857,1.396912053,103.9089502,Meridian
LRT,70,PUNGGOL FIELD,828856,1.393909226,103.9125809,Coral Edge
LRT,40,PUNGGOL EAST,828852,1.394524496,103.9161661,Riviera
LRT,60,PUNGGOL DRIVE,828853,1.399509113,103.916575,Kadaloor
LRT,50,PUNGGOL DRIVE,828854,1.402286677,103.9127274,Oasis
LRT,40,PUNGGOL DRIVE,828855,1.405234836,103.9086035,Damai
LRT,10,SENTUL CRESCENT,828851,1.409612685,103.9048316,Sam Kee
LRT,81,PUNGGOL WAY,828644,1.416848521,103.9066508,Punggol Point
LRT,61,PUNGGOL WAY,828645,1.415901719,103.9021563,Samudera
LRT,41,PUNGGOL WAY,828862,1.411870459,103.9003138,Nibong
LRT,31,PUNGGOL WAY,828863,1.408452426,103.8985585,Sumang
LRT,21,PUNGGOL WAY,828864,1.405088584,103.8972097,Soo Teck
LRT,90,BUKIT PANJANG RING ROAD,679942,1.3828775,103.7624,Senja
